DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Wind Onshore	2648.0	0.0	01/01/2022 05:23
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Solar	0.0	0.0	01/01/2022 05:23
2022-01-01 03:00:00.000	PT60M	10YLT-1001A0008Q	CTY	LT CTY	LT	Hydro Run-of-river and poundage	24.24		01/01/2022 05:23
2022-01-01 03:00:00.000	PT60M	10YLT-1001A0008Q	CTY	LT CTY	LT	Waste	18.81		01/01/2022 05:23
2022-01-01 03:00:00.000	PT60M	10YLT-1001A0008Q	CTY	LT CTY	LT	Biomass	54.1		01/01/2022 05:23
2022-01-01 03:00:00.000	PT60M	10YLT-1001A0008Q	CTY	LT CTY	LT	Hydro Pumped Storage	0.0	0.0	01/01/2022 05:23
2022-01-01 03:00:00.000	PT60M	10YLT-1001A0008Q	CTY	LT CTY	LT	Wind Onshore	264.8		01/01/2022 05:23
2022-01-01 03:00:00.000	PT60M	10YLT-1001A0008Q	CTY	LT CTY	LT	Other	13.76		01/01/2022 05:23
2022-01-01 03:00:00.000	PT60M	10YLT-1001A0008Q	CTY	LT CTY	LT	Fossil Gas	36.5		01/01/2022 05:23
2022-01-01 03:00:00.000	PT60M	10YLT-1001A0008Q	CTY	LT CTY	LT	Solar	0.0		01/01/2022 05:23
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Fossil Oil	0.0	0.0	01/01/2022 05:23
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Hydro Water Reservoir	184.8	0.0	21/02/2022 14:36
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Hydro Pumped Storage	0.0	1401.2	02/01/2022 14:16
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Other	22.0	0.0	01/01/2022 05:24
